site;age;pH;pH_16pc;pH_84pc;xco2;xco2_16pc;xco2_84pc;xco2_alkalinityLow;xco2_alkalinityHigh;ref
1209B;55907.5;7.648;7.623;7.673;1233;1006;1462;908;1558;Penman et al., 2014
401;55920.0;7.687;7.657;7.716;1107;902;1318;815;1399;Gutjahr et al., 2017
1209B;55923.5;7.668;7.646;7.689;1172;957;1386;863;1482;Penman et al., 2014
1209B;55930.4;7.605;7.579;7.630;1394;1137;1655;1026;1762;Penman et al., 2014
1209B;55932.7;7.608;7.587;7.629;1383;1129;1635;1018;1748;Penman et al., 2014
401;55934.3;7.683;7.658;7.707;1121;915;1330;825;1417;Gutjahr et al., 2017
1263B;55935.8;7.691;7.658;7.723;1084;882;1293;798;1370;Penman et al., 2014
865B;55938.7;7.746;7.727;7.766;948;773;1121;697;1199;Penman et al., 2014
401;55942.2;7.696;7.676;7.715;1083;885;1281;797;1370;Gutjahr et al., 2017
1209;55946.5;7.530;7.503;7.556;1714;1398;2035;1263;2165;Harper et al., 2020
401;55948.8;7.592;7.547;7.633;1415;1143;1711;1043;1787;Gutjahr et al., 2017
1209B;55952.3;7.532;7.510;7.554;1682;1374;1989;1240;2124;Penman et al., 2014
1209B;55952.3;7.531;7.488;7.571;1690;1366;2040;1245;2134;Penman et al., 2014
401;55955.4;7.730;7.709;7.751;988;806;1169;727;1250;Gutjahr et al., 2017
1263A;55959.1;7.573;7.500;7.639;1464;1148;1848;1080;1848;Penman et al., 2014
401;55963.3;7.574;7.504;7.637;1484;1166;1866;1095;1874;Gutjahr et al., 2017
1209B;55969.6;7.637;7.613;7.660;1284;1049;1522;945;1624;Penman et al., 2014
1209;55992.7;7.550;7.521;7.577;1634;1331;1944;1203;2065;Harper et al., 2020
1209B;55992.7;7.592;7.566;7.618;1441;1176;1711;1061;1821;Penman et al., 2014
401;55993.2;7.497;7.442;7.547;1790;1432;2196;1322;2259;Gutjahr et al., 2017
865C;55993.8;7.356;7.314;7.395;2625;2132;3157;1939;3310;Penman et al., 2014
401;56003.6;7.634;7.602;7.664;1270;1035;1513;936;1605;Gutjahr et al., 2017
1209B;56004.2;7.541;7.518;7.563;1646;1345;1948;1213;2078;Penman et al., 2014
1209B;56004.2;7.537;7.505;7.569;1661;1352;1979;1224;2097;Penman et al., 2014
1209B;56005.0;7.583;7.548;7.616;1478;1200;1767;1088;1867;Penman et al., 2014
401;56013.6;7.585;7.550;7.619;1432;1165;1710;1056;1808;Gutjahr et al., 2017
401;56018.7;7.777;7.748;7.805;872;710;1039;641;1103;Gutjahr et al., 2017
1209B;56021.0;7.727;7.703;7.750;997;814;1183;733;1261;Penman et al., 2014
1263C;56021.7;7.735;7.702;7.767;958;780;1143;706;1211;Penman et al., 2014
1209B;56025.0;7.777;7.750;7.804;873;710;1039;641;1105;Penman et al., 2014
1209;56029.0;7.660;7.641;7.680;1208;986;1429;889;1528;Harper et al., 2020
1209B;56029.0;7.742;7.723;7.761;959;782;1134;705;1213;Penman et al., 2014
1209B;56031.0;7.777;7.746;7.808;873;709;1042;641;1105;Penman et al., 2014
401;56031.8;7.780;7.728;7.828;864;689;1061;635;1093;Gutjahr et al., 2017
1209;56039.0;7.774;7.752;7.797;888;724;1054;652;1125;Harper et al., 2020
1209B;56039.0;7.772;7.754;7.790;885;722;1047;650;1120;Penman et al., 2014
401;56051.0;7.701;7.671;7.730;1061;864;1263;781;1340;Gutjahr et al., 2017
401;56072.8;7.755;7.726;7.782;924;752;1100;680;1169;Gutjahr et al., 2017
401;56089.9;7.778;7.752;7.804;867;706;1030;638;1097;Gutjahr et al., 2017
401;56136.2;7.743;7.712;7.773;953;776;1136;701;1206;Gutjahr et al., 2017
401;56152.4;7.675;7.646;7.703;1139;928;1355;839;1439;Gutjahr et al., 2017
865B;56162.0;7.794;7.778;7.811;834;680;987;613;1056;Penman et al., 2014
401;56163.8;7.780;7.756;7.805;863;704;1024;634;1092;Gutjahr et al., 2017
1209;56176.0;7.707;7.689;7.726;1061;866;1255;780;1342;Harper et al., 2020
1209B;56176.0;7.725;7.708;7.743;1003;818;1185;737;1268;Penman et al., 2014
1209B;56176.0;7.729;7.711;7.748;992;810;1173;729;1254;Penman et al., 2014
401;56214.1;7.716;7.685;7.746;1021;832;1217;752;1291;Gutjahr et al., 2017
401;56246.6;7.774;7.743;7.803;879;715;1047;646;1112;Gutjahr et al., 2017
401;56448.9;7.857;7.820;7.893;703;569;846;516;891;Gutjahr et al., 2017
1209;65614.1;7.692;7.655;7.728;1102;893;1323;810;1393;Henehan et al., 2019
1209;65921.2;7.811;7.793;7.828;803;654;951;589;1018;Henehan et al., 2019
1209;65957.0;7.757;7.734;7.779;929;757;1101;682;1176;Henehan et al., 2019
1209;65986.3;7.897;7.867;7.926;632;512;755;462;802;Henehan et al., 2019
1209;65997.5;8.001;7.986;8.016;467;379;554;340;594;Henehan et al., 2019
Brazos River;66020.0;7.657;7.634;7.680;1203;982;1425;885;1520;Henehan et al., 2019
Geulhemmerberg, 'E' clay;66039.0;7.490;7.467;7.513;1820;1488;2151;1344;2296;Henehan et al., 2019
Geulhemmerberg, 'E' clay;66039.0;7.541;7.515;7.567;1605;1311;1902;1184;2025;Henehan et al., 2019
Geulhemmerberg, 'E' clay;66039.0;7.454;7.403;7.501;1993;1601;2431;1472;2514;Henehan et al., 2019
Brazos River;66045.6;7.727;7.706;7.747;1002;818;1185;737;1268;Henehan et al., 2019
Brazos River;66054.0;7.762;7.743;7.780;915;746;1082;672;1157;Henehan et al., 2019
Brazos River;66094.0;7.762;7.743;7.780;916;747;1084;672;1160;Henehan et al., 2019
465;66132.3;7.834;7.818;7.850;749;610;886;549;948;Henehan et al., 2019
1049;66172.7;7.604;7.582;7.626;1384;1130;1637;1019;1748;Henehan et al., 2019
OwlCreek;66320.0;7.732;7.707;7.756;974;795;1155;717;1232;Henehan et al., 2019
1049;66820.0;7.725;7.709;7.740;1004;820;1187;738;1270;Henehan et al., 2019
1049;66820.0;7.698;7.679;7.717;1085;885;1283;798;1372;Henehan et al., 2019
